k,lbm,fys,onv,soc,vrz,won
2,0.9918840074255222,0.9999914515912129,0.9108837887364402,0.9230132050200841,0.8781630392919719,0.9522470938344444
3,0.8798422321559239,0.8801319800332401,0.7057742810618804,0.5716187135310978,0.6089623665073034,0.6923469213710426
4,0.9011683795355282,0.8920832903921184,0.6801588233425395,0.5353026825351223,0.5744567688459076,0.6856194881392605
5,0.8779406964473025,0.8810364329263114,0.7025877802090592,0.5640726163504742,0.5911047685956813,0.6805285966393134
6,0.9191977910523697,0.9500105583451074,0.651285403303975,0.5246453300348028,0.5349559388279376,0.6617479745536097
7,0.865756045904367,0.8970446670601746,0.6730274639909007,0.5213760650279909,0.5570687086942452,0.6672511004138401
8,0.8746343528751336,0.8922367182048115,0.6785116702916097,0.5439881743632989,0.563000882094505,0.6693158573238378
9,0.8866600416214022,0.9190467540651891,0.6731904194497725,0.5322582075781245,0.555970066776282,0.6680341331780233
10,0.8478053248134123,0.8641597779987853,0.6461359207033313,0.4896657274971354,0.5306111239209876,0.6437148125187188
11,0.8447213967588268,0.8715502402525982,0.6440031039416007,0.49670000867687497,0.5234557998408966,0.6459136913206
12,0.8563552584282524,0.8723088723453821,0.6505982862925669,0.5178781976735978,0.5172552959322361,0.6580087297430056
13,0.8567048686623175,0.836060387718351,0.6640843511681328,0.5095101446849755,0.5437229483011122,0.6504810650901995
14,0.8540140796738347,0.830218870719909,0.6468624518502911,0.49912691801142184,0.5155923266798814,0.6458469176161914
15,0.8459552112942844,0.8341714929282831,0.6450533587527769,0.4944919923003811,0.5192084327228659,0.648293175044772
